Identifier;Name;Cancer.Type
753566;J82;BLCA
907312;KU-19-19;BLCA
753584;LB831-BLC;BLCA
909704;RT-112;BLCA
687455;RT4;BLCA
909749;SW1710;BLCA
687457;SW780;BLCA
724812;T-24;BLCA
687459;TCCSUP;BLCA
724838;UM-UC-3;BLCA
909780;VM-CUB-1;BLCA
687505;C-33-A;CESC
687506;C-4-I;CESC
924107;CAL-39;CESC
906824;Ca-Ski;CESC
906843;DoTc2-4510;CESC
1298134;HeLa;CESC
907068;HT-3;CESC
687514;ME-180;CESC
1240179;MS751;CESC
930297;SiHa;CESC
1240212;SISO;CESC
930298;SKG-IIIa;CESC
724839;SW756;CESC
946357;TC-YIK;
910781;AN3-CA;UCEC
910691;COLO-684;UCEC
1240127;EN;UCEC
907000;ESS-1;
907051;HEC-1;UCEC
924187;KLE;UCEC
908129;MFE-280;UCEC
908130;MFE-296;UCEC
1240174;MFE-319;UCEC
909735;SNG-M;UCEC
906804;A2780;UNABLE TO CLASSIFY
949090;Caov-4;OV
911905;EFO-21;OV
906852;EFO-27;
1240128;ES-2;
1240129;FU-OV-1;OV
905968;IGROV-1;OV
1479995;JHOS-2;OV
1480358;JHOS-3;OV
1480359;JHOS-4;OV
924186;KGN;
909975;KURAMOCHI;UNABLE TO CLASSIFY
946360;OAW-28;OV
910548;OAW-42;OV
909257;OC-314;OV
1480361;OV-17R;OV
1480362;OV-56;OV
1480360;OV-7;OV
1240197;OV-90;OV
1480364;OVCA420;OV
905933;OVCAR-3;OV
905990;OVCAR-4;OV
905969;OVCAR-5;OV
905991;OVCAR-8;OV
1240198;OVISE;OV
1480371;OVK-18;OV
1240199;OVKATE;OV
1240200;OVMIU;OV
1298365;OVTOKO;OV
909255;PA-1;
1480372;PEO1;OV
1298539;RKN;
909699;RMG-I;
905959;SK-OV-3;OV
909753;SW626;OV
1299070;TOV-112D;OV
1240222;TOV-21G;OV
909774;TYK-nu;UNABLE TO CLASSIFY
1480374;UWB1.289;OV
924100;22RV1;PRAD
924105;BPH-1;
905935;DU-145;PRAD
907788;LNCaP-Clone-FGC;PRAD
905934;PC-3;PRAD
1330993;PWR-1E;PRAD
1299075;VCaP;PRAD
908441;NCCIT;
910942;NEC8;
908454;NTERA-2 cl.D1;
907175;JAR;
907176;JEG-3;
924247;SW954;
909758;SW962;
908127;MES-SA;
1240215;SKN;
753551;DMS-79;SCLC
910566;CMK;LAML
1323913;NB-4;LAML
908133;MHH-CALL-4;
910918;BC-3;DLBC
907063;HT;DLBC
1327768;JM1;DLBC
906695;BONNA-12;
949157;ES6;
908134;MHH-ES-1;
1789883;DIFI;COAD/READ
908442;NCI-H508;COAD/READ
1659929;SNU-283;COAD/READ
905962;SW620;COAD/READ
1240157;JHH-2;LIHC
1240158;JHH-4;LIHC
1524415;RCC-JF;KIRC
1240220;SW156;KIRC
905972;HOP-62;LUAD
687794;NCI-H1437;LUAD
1240202;PC-3 [JPC-3];LUAD
1331055;NCI-H740;SCLC
1297439;COR-L95;SCLC
1303901;HCC-33;SCLC
753597;NCI-H128;SCLC
753599;NCI-H1304;SCLC
908480;NCI-H2081;SCLC
688015;NCI-H2171;SCLC
724872;SHP-77;SCLC
1299062;SW1271;SCLC
946372;D-423MG;GBM
924189;KP-N-RT-BM-1;NB
946363;KP-N-YS;NB
908118;MC-IXC;NB
1240125;COLO-783;SKCM
949092;CP67-MEL;SKCM
1240149;Hs633T;
1298167;KMH-2;THCA
949154;OMC-1;CESC
930082;RL95-2;
906825;Caov-3;OV
1479987;DOV13;OV
1479988;Hey;OV
1330975;NCI-H660;
1298156;JHU-029;HNSC
1299052;SCC90;HNSC
1330948;MOLM-16;LAML
1659819;OCI-LY7;DLBC
1659817;KMS-11;MM
1290767;CHSA0011;
1290768;CHSA0108;
1298157;JIMT-1;BRCA
1290771;CL-34;COAD/READ
713869;VMRC-LCD;LUAD
1298160;K2;SKCM
1299061;STS-0421;
1330960;MY-M12;ALL
909762;TALL-1;ALL
1330981;NK-92MI;
908120;MDA-MB-175-VII;BRCA
1303911;YMB-1-E;BRCA
1240224;VMRC-RCW;KIRC
905943;NCI-H460;
930081;RERF-LC-FM;SCLC
946366;D-245MG;GBM
1298144;Hs939-T;SKCM
930301;VMRC-MELG;SKCM
1480367;OVCA433;OV
1299069;TMK-1;STAD
1298218;KP-2;PAAD
1330932;KO52;LAML
1331030;SC-1;DLBC
1503373;U-CH2;
